"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","Rank","CryptoCurrencyStatus","CryptoCurrencyNotes","Column_19","Column_20","Column_21"
807,2085679,"-0.00378","25713.0","North Macedonia","MKD","MK",807,"Europe","Southern Europe","TRUE","Republic of North Macedonia","25220.0","82.6994","214.1915",150,"Absolute ban","While some sources cite a lack of official laws regarding crypto use in North Macedonia as proof that crypto is legal, the Governor of the National Bank of Macedonia in 2014 declared that trading and use of Bitcoin was illegal. ",NULL,NULL,NULL
428,1830211,"-0.01105","64559.0","Latvia","LVA","LV",428,"Europe","Northern Europe","TRUE","Republic of Latvia","62230.0","29.4104","76.1730",151,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
48,1485509,"0.00902","765.0","Bahrain","BHR","BH",48,"Asia","Western Asia, The Middle East","TRUE","Kingdom of Bahrain","785.0","1892.3682","4901.2335",154,"Implicit ban","Banks and other financial institutions are prohibited from dealing in cryptocurrencies or offering services to individuals/businesses dealing in cryptocurrencies. AML/CFT laws apply",NULL,NULL,NULL
233,1322765,"-0.00249","45227.0","Estonia","EST","EE",233,"Europe","Northern Europe","TRUE","Republic of Estonia","42750.0","30.9419","80.1394",156,"Legal to use/Undefined","Tax laws are relaxed. Estonia may soon introduce Estcoin, a national cryptocurrency. AML/CFT laws apply",NULL,NULL,NULL
480,1300557,"0.00084","2040.0","Mauritius","MUS","MU",480,"Africa","Eastern Africa, Sub-Saharan Africa","TRUE","Republic of Mauritius","2030.0","640.6685","1659.3313",157,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
196,1260138,"0.00691","9251.0","Cyprus","CYP","CY",196,"Europe","Eastern Europe, The Middle East","TRUE","Republic of Cyprus","9240.0","136.3786","353.2205",158,"Legal to use/Undefined","No VAT, but other tax laws and AML/CFT laws apply",NULL,NULL,NULL
64,787424,"0.00635","38394.0","Bhutan","BTN","BT",64,"Asia","Southern Asia, South Central Asia","TRUE","Kingdom of Bhutan","38140.0","20.6456","53.4722",165,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
446,704149,"0.01292","32.9","Macau","MAC","MO",446,"Asia","Eastern Asia","FALSE","Macao Special Administrative Region of the People's Republic of China","32.9","21402.7052","55433.0064",167,"Legal to use/Undefined","Financial institutions are not allowed to process crypto transactions.",NULL,NULL,NULL
442,654768,"0.01107","2586.0","Luxembourg","LUX","LU",442,"Europe","Western Europe","TRUE","Grand Duchy of Luxembourg","2574.5","254.3282","658.7101",168,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
499,626485,"-0.00095","13812.0","Montenegro","MNE","ME",499,"Europe","Southern Europe","TRUE","Montenegro","13450.0","46.5788","120.6391",169,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
470,535064,"0.00333","316.0","Malta","MLT","MT",470,"Europe","Southern Europe","TRUE","Republic of Malta","320.0","1672.0750","4330.6743",173,"Legal to use/Undefined","Tax laws apply but many crypto-friendly breaks exist. AML/CFT laws apply, ",NULL,NULL,NULL
44,412623,"0.00644","13943.0","Bahamas","BHS","BS",44,"North America","Caribbean","TRUE","Commonwealth of the Bahamas","10010.0","41.2211","106.7626",176,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
84,410825,"0.01370","22966.0","Belize","BLZ","BZ",84,"North America","Central America, Latin America","TRUE","Belize","22810.0","18.0107","46.6478",177,"Legal to use/Undefined","No regulations yet as of 2022-11",NULL,NULL,NULL
352,375318,"0.00649","103000.0","Iceland","ISL","IS",352,"Europe","Northern Europe","TRUE","Iceland","100830.0","3.7223","9.6407",179,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
548,334506,"0.02377","12189.0","Vanuatu","VUT","VU",548,"Oceania","Melanesia","TRUE","Republic of Vanuatu","12190.0","27.4410","71.0722",182,"Unclear","News outlets reported that the government accepted Bitcoin as payment for citizenship, the country's citizenship office claims to accept only USD",NULL,NULL,NULL
52,281995,"0.00128","430.0","Barbados","BRB","BB",52,"North America","Caribbean","TRUE","Barbados","430.0","655.8023","1698.5280",186,"Legal to use/Undefined","Barbados launched its own cryptocurrency, DCash, in 2022",NULL,NULL,NULL
882,225681,"0.01484","2842.0","Samoa","WSM","WS",882,"Oceania","Polynesia","TRUE","Independent State of Samoa","2780.0","81.1802","210.2568",188,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
662,180251,"0.00219","616.0","Saint Lucia","LCA","LC",662,"North America","Caribbean","TRUE","Saint Lucia","610.0","295.4934","765.3280",190,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
832,111802,"0.00924","116.0","Jersey","JEY","JE",832,"Europe","Northern Europe, Sub-Saharan Africa","FALSE","Bailiwick of Jersey","120.0","931.6833","2413.0598",195,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
28,94298,"0.00571","442.0","Antigua and Barbuda","ATG","AG",28,"North America","Caribbean","TRUE","Antigua and Barbuda","440.0","214.3136","555.0723",201,"Legal to use/Undefined","Accepted as payment for citizenship. AML/CFT laws apply",NULL,NULL,NULL
833,84710,"0.00226","572.0","Isle of Man","IMN","IM",833,"Europe","Northern Europe","FALSE","Isle of Man","570.0","148.6140","384.9104",202,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
136,69310,"0.00879","264.0","Cayman Islands","CYM","KY",136,"North America","Caribbean","FALSE","Cayman Islands","240.0","288.7917","747.9704",205,"Legal to use/Undefined","Crypto-friendly laws exist. AML/CFT laws apply",NULL,NULL,NULL
60,64069,"-0.00179","54.0","Bermuda","BMU","BM",60,"North America","Northern America","FALSE","Bermuda","54.0","1186.4630","3072.9391",206,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
831,63544,"0.00384","78.0","Guernsey","GGY","GG",831,"Europe","Northern Europe","FALSE","Bailiwick of Guernsey","63.0","1008.6349","2612.3644",207,"Legal to use/Undefined","Tax laws apply",NULL,NULL,NULL
659,47755,"0.00206","261.0","Saint Kitts and Nevis","KNA","KN",659,"North America","Caribbean","TRUE","Federation of Saint Christopher and Nevisa","260.0","183.6731","475.7133",211,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
584,41996,"0.01027","181.0","Marshall Islands","MHL","MH",584,"Oceania","Micronesia","TRUE","Republic of the Marshall Islands","180.0","233.3111","604.2758",215,"Legal to use/Undefined","Legal currency is the sovereign (SOV), which is powered by blockchain",NULL,NULL,NULL
438,39584,"0.00654","160.0","Liechtenstein","LIE","LI",438,"Europe","Western Europe","TRUE","Principality of Liechtenstein","160.0","247.4000","640.7660",216,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
292,32688,"0.00120","6.8","Gibraltar","GIB","GI",292,"Europe","Southern Europe","FALSE","Gibraltar","6.8","4807.0588","12450.2824",219,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
585,18058,"0.00017","459.0","Palau","PLW","PW",585,"Oceania","Micronesia","TRUE","Republic of Palau","460.0","39.2565","101.6744",222,"Implicit ban","Crypto is legal to possess, but crypto transactions are prohibited until regulations are in place",NULL,NULL,NULL
660,15899,"0.00265","91.0","Anguilla","AIA","AI",660,"North America","Caribbean","FALSE","Anguilla","91.0","174.7143","452.5100",224,"Legal to use/Undefined","AML/CFT laws apply. Initial coin offerings (ICOs) are regulated",NULL,NULL,NULL
